,group,names,scores,logfoldchanges,pvals,pvals_adj
0,treated,TOMM7,29.828402,1.2503827,1.673589101571258e-195,1.280031411791238e-192
1,treated,YES,29.598537,3.7430089,1.560406362989124e-192,9.859054463894762e-190
2,treated,RPS20,28.743666,0.92448515,1.0869015434263497e-181,4.387459230297698e-179
3,treated,RPL37A,28.629206,0.8557514,2.910015335365202e-180,1.1429281852304627e-177
4,treated,RPS12,28.53942,0.9860278,3.8008818515919485e-179,1.4535372386140577e-176
5,treated,RPL28,27.569817,0.8186207,2.5612556198576318e-167,7.595952381177777e-165
6,treated,RPS28,27.386736,0.80840576,3.9460919116274415e-165,1.0819737294296222e-162
7,treated,NCL,27.086767,2.264113,1.4098753500517324e-161,3.414718097825296e-159
8,treated,RPS8,26.982016,0.79401886,2.4029640758444855e-160,5.4562303047143845e-158
9,treated,RPL35,26.869713,0.67756665,4.963516545152514e-159,1.1096895759100975e-156
10,treated,RPS16,26.730852,0.7351225,2.0619068334040303e-157,4.539943955004146e-155
11,treated,ENOSF,26.271463,3.2236876,4.064557130823902e-152,8.091252633579854e-150
12,treated,RPL37,26.141163,0.79984254,1.242076266865513e-150,2.374980567117057e-148
13,treated,RPS2,25.957207,0.71215194,1.5077162733397627e-148,2.845471803139407e-146
14,treated,RPS23,25.85805,0.6484112,1.9753936171081406e-147,3.6400727897947756e-145
15,treated,RPS27,25.557003,0.68556577,4.58976392318398e-144,7.940291587108286e-142
16,treated,TPT,24.755787,0.909501,2.6858970183410404e-135,4.06577661151375e-133
17,treated,ATP5E,24.275434,0.7412985,3.56349168331369e-130,4.839687957188275e-128
18,treated,MT-ND4L,24.261616,2.2745543,4.9861704497820985e-130,6.647617337269124e-128
19,treated,DMKN,23.842201,2.6950178,1.2199965550912488e-125,1.453195896605412e-123
20,treated,C14orf2,23.672873,1.0314552,6.863545941331267e-124,7.853625954285509e-122
21,treated,THOC,23.14884,3.048075,1.4934199912738724e-118,1.5176489030204135e-116
22,treated,DDX24,22.533266,2.2035384,1.959611153495134e-112,1.825453159140467e-110
23,treated,RPL8,22.387463,0.48548773,5.2145057882594276e-111,4.706658268011553e-109
24,treated,RPL7A,22.314121,0.85506845,2.6948463287762343e-110,2.4134340964541653e-108
25,treated,USP14,22.20202,2.0912418,3.2834818293613746e-109,2.790383505513421e-107
26,treated,RPL18,22.191168,0.5138004,4.1798918258064177e-109,3.5315225588731895e-107
27,treated,TOMM20,21.882708,0.9550322,3.796193992633848e-106,3.0311148956568723e-104
28,treated,RPL12,21.830938,0.72968316,1.179737641021209e-105,9.317362717021852e-104
29,treated,RPL38,21.35773,0.57672584,3.3047359203538244e-101,2.437787938811258e-99
30,treated,RPS6,21.284931,0.5238606,1.5657828167893274e-100,1.149189691595076e-98
31,treated,NAP1L,21.02615,1.0183144,3.781192323464329e-98,2.6417445598357514e-96
32,treated,RPS15A,20.99076,0.5080954,7.966081801790791e-98,5.53890434180018e-96
33,treated,MYEOV,20.96036,6.8418393,1.509429957506326e-97,1.0445255305943776e-95
34,treated,RPL3,20.882637,0.6338331,7.702057667119397e-97,5.181773241600883e-95
35,treated,RPS,20.812532,0.46735668,3.332635462546051e-96,2.1717425355031038e-94
36,treated,SEC61B,20.807074,0.79708713,3.734626188504143e-96,2.4228387397920626e-94
37,treated,SON,20.54937,1.4806426,7.796733594089557e-94,4.862752471644183e-92
38,treated,DDX18,20.47839,1.7757477,3.355696804654678e-93,2.066312964628889e-91
39,treated,SET,19.947077,1.3618807,1.589112874906936e-88,8.814117671048699e-87
40,treated,RNF19A,19.699688,2.1873124,2.169514043498838e-86,1.1720214899674765e-84
41,treated,RPS2,19.530966,0.48080626,5.989660746040927e-85,3.165154544053336e-83
42,treated,RPL4,19.463556,0.4766029,2.2370709890612046e-84,1.1693926479509866e-82
43,treated,TAX1BP,19.443537,1.2102876,3.3057278670420135e-84,1.721822127736722e-82
44,treated,DPM3,19.412798,1.0077878,6.015970447725396e-84,3.111177314816564e-82
45,treated,UBA52,19.333593,0.43188265,2.802046322857354e-83,1.433779477597291e-81
46,treated,RPL36,19.251356,0.37934217,1.3751781958114566e-82,6.987443895640591e-81
47,treated,KIF,19.050547,1.4834146,6.5020683488279505e-81,3.181416068860868e-79
48,treated,RPL24,19.00464,0.4357089,1.5611115081839099e-80,7.587315196297184e-79
49,treated,SLC38A,18.860657,1.3678496,2.402186883328643e-79,1.1559132380308555e-77
50,treated,CHCHD2,18.824188,0.75343496,4.78481892861325e-79,2.2948181079408497e-77
51,treated,RPL,18.705145,0.35943392,4.49505031296586e-78,2.100388139807713e-76
52,treated,PRRC2C,18.665577,1.0106791,9.435112473578326e-78,4.366594091275166e-76
53,treated,PRKDC,18.552668,1.8261024,7.760317658727117e-77,3.4914221738892406e-75
54,treated,EIF5B,18.395405,1.3187073,1.4299105523892227e-75,6.315945333531971e-74
55,treated,NDUFV3,18.349028,0.8865983,3.360765529430204e-75,1.4710435142674616e-73
56,treated,RPS,18.181585,0.5358342,7.221645300200088e-74,3.0317947732885434e-72
57,treated,RPL27A,18.18145,0.4276709,7.239421871257394e-74,3.0317947732885434e-72
58,treated,EEF1B2,18.089235,0.50448054,3.874259683817385e-73,1.5814815091357935e-71
59,treated,TOMM5,18.032814,1.191827,1.0766904480523993e-72,4.3342009947638415e-71
60,treated,SYAP,17.96635,1.5020473,3.5747592413074073e-72,1.415487773696982e-70
61,treated,NUCKS,17.886202,1.3791136,1.5106214615898544e-71,5.901169645113915e-70
62,treated,RPL22,17.745993,0.4603721,1.8510277484982303e-70,7.154025330100075e-69
63,treated,HINT,17.717007,0.68814445,3.0997563740530763e-70,1.1948450829639073e-68
64,treated,RNMT,17.637465,1.2974237,1.2703468791312456e-69,4.820021109017039e-68
65,treated,RPL30,17.55253,0.35573465,5.688857031708111e-69,2.1306822264119143e-67
66,treated,GOLGA4,17.544981,1.1658877,6.497550698890651e-69,2.4210873527251008e-67
67,treated,RPL13A,17.503052,0.4181613,1.3579339605189655e-68,5.04693000364747e-67
68,treated,TPR,17.457552,1.1956059,3.015952066581448e-68,1.1152115885893538e-66
69,treated,CHCHD,17.242046,1.0198835,1.2840840810637203e-66,4.607483917535304e-65
70,treated,S100A13,17.164864,0.97615355,4.866180152300465e-66,1.7247641456885454e-64
71,treated,NDUFB,16.985626,0.99912494,1.0492884093557401e-64,3.596287538857928e-63
72,treated,SRRM,16.79277,1.0042962,2.7567128765623257e-63,9.063473195068715e-62
73,treated,ATPIF,16.785625,0.8489191,3.1093858255311e-63,1.0199908536482605e-61
74,treated,TMA7,16.711678,0.7109612,1.0775999766972817e-62,3.519029856486494e-61
75,treated,UQCR11-,16.489567,0.6413834,4.360597092308727e-61,1.3656938996860006e-59
76,treated,SOD,16.476963,0.7855724,5.371707033887477e-61,1.6751426312543525e-59
77,treated,TCEB2,16.3199,0.7063704,7.125147555206007e-60,2.161641842844545e-58
78,treated,SMC5,16.247234,1.9514221,2.336700758807259e-59,6.972676679052789e-58
79,treated,LARS,16.176052,1.4869516,7.4416688321480735e-59,2.1891160216351376e-57
80,treated,RPS24,16.106756,0.35498017,2.2871399006032384e-58,6.674039565374752e-57
81,treated,EIF3A,16.07049,1.1764563,4.1082790847177414e-58,1.1940302331823644e-56
82,treated,MRPL55,16.034697,1.1048889,7.314077717888448e-58,2.1130850377008932e-56
83,treated,GOLGB,15.970995,1.6896119,2.0351338611465753e-57,5.833247587807106e-56
